0,1,2,3,4
3.866,-2.6383,1.9242,0.10645,0.0
3.4566,9.5228,-4.0112,-3.5944,0.0
1.5356,9.1772,-2.2718,-0.73535,0.0
1.8993,7.6625,0.15394,-3.1108,0.0
4.6765,-3.3895,3.4896,1.4771,0.0
-0.96511,9.4111,1.7305,-4.8629,0.0
3.4805,9.7008,-3.7541,-3.4379,0.0
-0.0068919,9.2931,-0.41243,-1.9638,0.0
0.96441,5.8395,2.3235,0.066365,0.0
-0.7869,9.5663,-3.7867,-7.5034,0.0
4.3239,-4.8835,3.4356,-0.5776,0.0
4.9264,5.496,-2.4774,-0.50648,0.0
2.5635,6.7769,-0.61979,0.38576,0.0
3.1377,-4.1096,4.5701,0.98963,0.0
2.5367,2.599,2.0938,0.20085,0.0
4.1654,-3.4495,3.643,1.0879,0.0
4.4069,10.9072,-4.5775,-4.4271,0.0
2.3066,3.5364,0.57551,0.41938,0.0
3.7935,7.9853,-2.5477,-1.872,0.0
0.049175,6.1437,1.7828,-0.72113,0.0
4.4682,2.2907,0.95766,0.83058,0.0
5.0185,8.5978,-2.9375,-1.281,0.0
-1.1313,1.9037,7.5339,1.022,0.0
1.4806,7.6377,-2.7876,-1.0341,0.0
4.3064,8.2068,-2.7824,-1.4336,0.0
2.9543,1.076,0.64577,0.89394,0.0
3.82,10.9279,-4.0112,-5.0284,0.0
-2.7419,11.4038,2.5394,-5.5793,0.0
3.3669,-5.1856,3.6935,-1.1427,0.0
4.5597,-2.4211,2.6413,1.6168,0.0
3.5438,1.2395,1.997,2.1547,0.0
2.3136,10.6651,-3.5288,-4.7672,0.0
-1.8584,7.886,-1.6643,-1.8384,0.0
1.518,5.6946,0.094818,-0.026738,0.0
3.8969,7.4163,-1.8245,0.14007,0.0
2.108,6.7955,-0.1708,0.4905,0.0
2.8969,0.70768,2.29,1.8663,0.0
3.4642,10.6878,-3.4071,-4.109,0.0
-1.4572,9.1214,1.7425,-5.1241,0.0
2.994,7.2011,-1.2153,0.3211,0.0
4.6689,1.3098,0.055404,1.909,0.0
3.4663,1.1112,1.7425,1.3388,0.0
5.1302,8.6703,-2.8913,-1.5086,0.0
5.438,9.4669,-4.9417,-3.9202,0.0
5.032,8.2026,-2.6256,-1.0341,0.0
2.486,-0.99533,5.3404,-0.15475,0.0
3.9479,-3.7723,2.883,0.019813,0.0
3.5499,8.6165,-3.2794,-1.2009,0.0
2.4008,9.3593,-3.3565,-3.3526,0.0
4.1927,-3.2674,2.5839,0.21766,0.0
-1.803,11.8818,2.0458,-5.2728,0.0
0.11739,6.2761,-1.5495,-2.4746,0.0
0.5706,-0.0248,1.2421,-0.5621,0.0
-1.1193,10.7271,2.0938,-5.6504,0.0
3.6582,5.6864,-1.7157,-0.23751,0.0
-0.13144,-1.7775,8.3316,0.35214,0.0
-0.69572,8.6165,1.8419,-4.3289,0.0
-1.2537,10.8803,1.931,-4.3237,0.0
4.8272,3.0687,0.68604,0.80731,0.0
1.9157,6.0816,0.23705,-2.0116,0.0
-2.0897,10.8265,2.3603,-3.4198,0.0
4.0026,-3.5943,3.5573,0.26809,0.0
4.1757,10.2615,-3.8552,-4.3056,0.0
3.5156,10.1891,-4.2759,-4.978,0.0
0.68087,2.3259,4.9085,0.54998,0.0
-1.3,10.2678,-2.953,-5.8638,0.0
4.6464,10.5326,-4.5852,-4.206,0.0
5.4944,1.5478,0.041694,1.9284,0.0
2.2596,-0.033118,4.7355,-0.2776,0.0
2.7296,2.8701,0.51124,0.5099,0.0
3.8905,-2.1521,2.6302,1.1047,0.0
4.2134,-2.806,2.0116,0.67412,0.0
1.6472,0.48213,4.7449,1.225,0.0
2.0597,-0.99326,5.2119,-0.29312,0.0
1.8114,7.6067,-0.9788,-2.4668,0.0
3.8496,9.7939,-4.1508,-4.4582,0.0
0.9297,-3.7971,4.6429,-0.2957,0.0
4.052,-0.16555,0.45383,0.51248,0.0
1.3638,-4.7759,8.4182,-1.8836,0.0
