# x, y,prediction 1,prediction 2, prediction 3
0.55,-1.00,3.30,-1.49,7.80
0.79,-5.71,0.87,-6.78,2.50
0.59,-1.40,3.16,-2.27,7.05
0.50,0.48,2.70,-0.68,8.57
0.17,2.95,4.40,2.13,10.72
0.42,1.24,3.20,0.38,9.53
0.19,2.68,3.48,2.08,10.73
0.14,3.03,3.02,2.19,10.68
0.94,-10.10,0.33,-10.94,-1.83
0.00,2.25,3.95,2.02,10.04
0.71,-4.43,1.86,-4.78,4.55
0.62,-2.40,3.33,-2.79,6.54
0.44,0.85,3.01,0.02,9.20
0.65,-2.45,2.00,-3.38,5.95
0.73,-4.32,2.70,-5.13,4.19
0.15,3.29,3.21,2.18,10.70
0.43,0.88,3.83,0.24,9.40
0.51,-0.48,3.99,-0.88,8.38
0.20,2.39,3.81,2.05,10.72
0.47,0.26,3.13,-0.25,8.96
0.42,0.80,4.49,0.28,9.44
0.58,-1.26,3.56,-2.07,7.24
0.39,0.90,2.97,0.63,9.74
0.12,2.50,4.24,2.21,10.64
0.03,2.71,3.58,2.11,10.23
0.08,3.02,4.10,2.20,10.51
0.91,-9.81,0.77,-10.22,-1.07
0.71,-4.31,1.23,-4.81,4.52
0.32,2.48,3.19,1.36,10.33
0.35,2.10,3.06,1.08,10.11
0.57,-0.89,4.01,-1.87,7.43
0.23,2.22,3.72,1.91,10.67
0.20,2.72,3.04,2.05,10.72
0.63,-1.90,2.02,-3.03,6.30
0.84,-7.20,0.35,-7.92,1.33
0.84,-7.52,0.71,-7.92,1.33
0.92,-9.57,0.14,-10.50,-1.37
0.80,-5.96,2.32,-6.91,2.37
0.79,-5.69,1.02,-6.80,2.48
0.64,-2.21,3.19,-3.26,6.08
0.98,-11.59,0.13,-12.25,-3.21
0.18,3.22,3.92,2.10,10.73
0.94,-10.56,-0.32,-10.96,-1.85
0.81,-6.50,0.32,-7.18,2.10
0.21,2.35,2.90,1.99,10.70
0.86,-8.08,0.86,-8.58,0.65
0.26,2.38,3.58,1.74,10.58
0.38,1.51,4.41,0.82,9.90
0.03,2.71,3.69,2.10,10.21
0.26,2.87,3.33,1.77,10.60
0.02,2.09,3.68,2.06,10.13
0.84,-7.54,0.74,-8.03,1.21
