 Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species
1,5.1,3.5,1.4,0.2,Iris-setosa
2,4.9,3,1.4,0.2,Iris-setosa
3,4.7,3.2,1.3,0.2,Iris-setosa
4,4.6,3.1,1.5,0.2,Iris-setosa
5,5,3.6,1.4,0.2,Iris-setosa
6,5.4,3.9,1.7,0.4,Iris-setosa
7,4.6,3.4,1.4,0.3,Iris-setosa
8,5,3.4,1.5,0.2,Iris-setosa
9,4.4,2.9,1.4,0.2,Iris-setosa
10,4.9,3.1,1.5,0.1,Iris-setosa
11,5.4,3.7,1.5,0.2,Iris-setosa
12,4.8,3.4,1.6,0.2,Iris-setosa
13,4.8,3,1.4,0.1,Iris-setosa
14,4.3,3,1.1,0.1,Iris-setosa
15,5.8,4,1.2,0.2,Iris-setosa
16,5.7,4.4,1.5,0.4,Iris-setosa
17,5.4,3.9,1.3,0.4,Iris-setosa
18,5.1,3.5,1.4,0.3,Iris-setosa
19,5.7,3.8,1.7,0.3,Iris-setosa
20,5.1,3.8,1.5,0.3,Iris-setosa
21,5.4,3.4,1.7,0.2,Iris-setosa
22,5.1,3.7,1.5,0.4,Iris-setosa
23,4.6,3.6,1,0.2,Iris-setosa
24,5.1,3.3,1.7,0.5,Iris-setosa
25,4.8,3.4,1.9,0.2,Iris-setosa
26,5,3,1.6,0.2,Iris-setosa
27,5,3.4,1.6,0.4,Iris-setosa
28,5.2,3.5,1.5,0.2,Iris-setosa
29,5.2,3.4,1.4,0.2,Iris-setosa
30,4.7,3.2,1.6,0.2,Iris-setosa
31,4.8,3.1,1.6,0.2,Iris-setosa
32,5.4,3.4,1.5,0.4,Iris-setosa
33,5.2,4.1,1.5,0.1,Iris-setosa
34,5.5,4.2,1.4,0.2,Iris-setosa
35,4.9,3.1,1.5,0.1,Iris-setosa
36,5,3.2,1.2,0.2,Iris-setosa
37,5.5,3.5,1.3,0.2,Iris-setosa
38,4.9,3.1,1.5,0.1,Iris-setosa
39,4.4,3,1.3,0.2,Iris-setosa
40,5.1,3.4,1.5,0.2,Iris-setosa
41,7,3.2,4.7,1.4,Iris-versicolor
42,6.4,3.2,4.5,1.5,Iris-versicolor
43,6.9,3.1,4.9,1.5,Iris-versicolor
44,5.5,2.3,4,1.3,Iris-versicolor
45,6.5,2.8,4.6,1.5,Iris-versicolor
46,5.7,2.8,4.5,1.3,Iris-versicolor
47,6.3,3.3,4.7,1.6,Iris-versicolor
48,4.9,2.4,3.3,1,Iris-versicolor
49,6.6,2.9,4.6,1.3,Iris-versicolor
50,5.2,2.7,3.9,1.4,Iris-versicolor
51,5,2,3.5,1,Iris-versicolor
52,5.9,3,4.2,1.5,Iris-versicolor
53,6,2.2,4,1,Iris-versicolor
54,6.1,2.9,4.7,1.4,Iris-versicolor
55,5.6,2.9,3.6,1.3,Iris-versicolor
56,6.7,3.1,4.4,1.4,Iris-versicolor
57,5.6,3,4.5,1.5,Iris-versicolor
58,5.8,2.7,4.1,1,Iris-versicolor
59,6.2,2.2,4.5,1.5,Iris-versicolor
60,5.6,2.5,3.9,1.1,Iris-versicolor
61,5.9,3.2,4.8,1.8,Iris-versicolor
62,6.1,2.8,4,1.3,Iris-versicolor
63,6.3,2.5,4.9,1.5,Iris-versicolor
64,6.1,2.8,4.7,1.2,Iris-versicolor
65,6.4,2.9,4.3,1.3,Iris-versicolor
66,6.6,3,4.4,1.4,Iris-versicolor
67,6.8,2.8,4.8,1.4,Iris-versicolor
68,6.7,3,5,1.7,Iris-versicolor
69,6,2.9,4.5,1.5,Iris-versicolor
70,5.7,2.6,3.5,1,Iris-versicolor
71,5.5,2.4,3.8,1.1,Iris-versicolor
72,5.5,2.4,3.7,1,Iris-versicolor
73,5.8,2.7,3.9,1.2,Iris-versicolor
74,6,2.7,5.1,1.6,Iris-versicolor
75,5.4,3,4.5,1.5,Iris-versicolor
76,6,3.4,4.5,1.6,Iris-versicolor
77,6.7,3.1,4.7,1.5,Iris-versicolor
78,6.3,2.3,4.4,1.3,Iris-versicolor
79,5.6,3,4.1,1.3,Iris-versicolor
80,5.7,2.8,4.1,1.3,Iris-versicolor
81,6.3,3.3,6,2.5,Iris-virginica
82,5.8,2.7,5.1,1.9,Iris-virginica
83,7.1,3,5.9,2.1,Iris-virginica
84,6.3,2.9,5.6,1.8,Iris-virginica
85,6.5,3,5.8,2.2,Iris-virginica
86,7.6,3,6.6,2.1,Iris-virginica
87,4.9,2.5,4.5,1.7,Iris-virginica
88,7.3,2.9,6.3,1.8,Iris-virginica
89,6.7,2.5,5.8,1.8,Iris-virginica
90,7.2,3.6,6.1,2.5,Iris-virginica
91,6.5,3.2,5.1,2,Iris-virginica
92,6.4,2.7,5.3,1.9,Iris-virginica
93,6.8,3,5.5,2.1,Iris-virginica
94,5.7,2.5,5,2,Iris-virginica
95,5.8,2.8,5.1,2.4,Iris-virginica
96,6.4,3.2,5.3,2.3,Iris-virginica
97,6.5,3,5.5,1.8,Iris-virginica
98,7.7,3.8,6.7,2.2,Iris-virginica
99,7.7,2.6,6.9,2.3,Iris-virginica
100,6,2.2,5,1.5,Iris-virginica
101,6.9,3.2,5.7,2.3,Iris-virginica
102,5.6,2.8,4.9,2,Iris-virginica
103,7.7,2.8,6.7,2,Iris-virginica
104,6.3,2.7,4.9,1.8,Iris-virginica
105,6.7,3.3,5.7,2.1,Iris-virginica
106,7.2,3.2,6,1.8,Iris-virginica
107,6.2,2.8,4.8,1.8,Iris-virginica
108,6.1,3,4.9,1.8,Iris-virginica
109,6.4,2.8,5.6,2.1,Iris-virginica
110,7.2,3,5.8,1.6,Iris-virginica
111,7.4,2.8,6.1,1.9,Iris-virginica
112,7.9,3.8,6.4,2,Iris-virginica
113,6.4,2.8,5.6,2.2,Iris-virginica
114,6.3,2.8,5.1,1.5,Iris-virginica
115,6.1,2.6,5.6,1.4,Iris-virginica
116,7.7,3,6.1,2.3,Iris-virginica
117,6.3,3.4,5.6,2.4,Iris-virginica
118,6.4,3.1,5.5,1.8,Iris-virginica
119,6,3,4.8,1.8,Iris-virginica
120,6.9,3.1,5.4,2.1,Iris-virginica
